"","sex","prob","vacci_status","names"
"1",1,0.6,0,"Delgado, Christina"
"2",1,0.6,0,"al-Dawood, Ghazaala"
"3",0,0.8,1,"Stephani, Dylan"
"4",1,0.6,1,"Santio, Daianaira"
"5",1,0.6,1,"Han, Emily"
"6",0,0.8,1,"Wu, Nathan"
"7",0,0.8,1,"Minner, Ryan"
"8",0,0.8,0,"Luna, James"
"9",1,0.6,0,"Craven, Alisha"
"10",0,0.8,1,"Ray, Stefan"
"11",0,0.8,1,"Harding, Davion"
"12",1,0.6,1,"al-Aziz, Munisa"
"13",0,0.8,1,"Rule, Robert"
"14",1,0.6,0,"Paewai-Huggins, Tina"
"15",1,0.6,0,"Madera Cosio, Alicia"
"16",0,0.8,1,"Sandoval, Atlay"
"17",0,0.8,1,"al-Minhas, Taajuddeen"
"18",1,0.6,0,"Silva, Harrison"
"19",1,0.6,1,"Bain, Brittany"
"20",1,0.6,0,"Rangel, Yohely"
"21",1,0.6,1,"Ramirez, Bianca"
"22",0,0.8,1,"Ruel, Aaron"
"23",0,0.8,0,"Vo, Nicholas"
"24",1,0.6,1,"Vargas, Jayme"
"25",1,0.6,1,"Mireles, Vanessa"
"26",0,0.8,0,"Allen, Joseph"
"27",1,0.6,1,"Kendall, Bibha"
"28",1,0.6,1,"Kiddle, Morgan"
"29",1,0.6,1,"Young, Sidra"
"30",0,0.8,1,"al-Abid, Qaaid"
"31",1,0.6,1,"Brown, Saamyia"
"32",1,0.6,1,"Salazar, Elizabeth"
"33",1,0.6,1,"Patch, Ivy"
"34",1,0.6,1,"Beldon, Baylynn"
"35",1,0.6,1,"Williamson, Brianna"
"36",0,0.8,1,"Jackson, Drake"
"37",1,0.6,0,"Martin, Avery"
"38",1,0.6,1,"Walker, Eryn"
"39",0,0.8,0,"Aleman, Anthony"
"40",0,0.8,1,"Hawk, Elijah"
"41",0,0.8,0,"Chavez, Ian"
"42",1,0.6,0,"Page, Leii"
"43",1,0.6,0,"Jackson, Kristen"
"44",1,0.6,1,"Kessenich, Margaret"
"45",1,0.6,1,"al-Jama, Minnah"
"46",1,0.6,1,"Pepperl, Dystanie"
"47",0,0.8,1,"Leyva Sanchez, Brandon"
"48",1,0.6,1,"Taylor, Nicole"
"49",0,0.8,1,"Smith, Scott"
"50",0,0.8,0,"el-Baten, Munsif"
"51",1,0.6,1,"Malmsbury, Hui"
"52",1,0.6,0,"Gotay, Sierra"
"53",0,0.8,1,"Lee, Kwang"
"54",0,0.8,1,"Nevares, Treshawn"
"55",0,0.8,0,"Nickell, Dylan"
"56",0,0.8,1,"Sumbunu, Davon"
"57",0,0.8,1,"el-Abbasi, Abdur Rasheed"
"58",0,0.8,0,"Ramos, Heriberto"
"59",1,0.6,0,"Cloutier, Madeleine"
"60",0,0.8,1,"Long, Alexander"
"61",0,0.8,1,"Butler, Theodore"
"62",1,0.6,1,"Corral-Acosta, Jasmine"
"63",1,0.6,1,"Register, Ghabre"
"64",1,0.6,0,"Clark, Yal"
"65",0,0.8,0,"Berentson-Scott, Troy"
"66",0,0.8,1,"Kim, Anushkaran"
"67",0,0.8,1,"Shihadeh, Blake"
"68",1,0.6,1,"el-Masood, Afnaan"
"69",1,0.6,1,"Millis, Tia"
"70",0,0.8,1,"Bueno, Samuel"
"71",0,0.8,1,"el-Ahmadi, Abdul Kareem"
"72",0,0.8,1,"Xiong, Corey"
"73",0,0.8,1,"Cain, Riley"
"74",1,0.6,0,"Mccabe, Chelsea"
"75",1,0.6,0,"al-Kaleel, Sultana"
"76",0,0.8,1,"Cardenas, Antonio"
"77",1,0.6,0,"al-Wahab, Nazeeha"
"78",1,0.6,1,"Roberts, Ariel"
"79",1,0.6,1,"Chipman, Hien"
"80",1,0.6,0,"Jiang, Olivia"
"81",0,0.8,1,"Luiso, Sean"
"82",1,0.6,1,"Carstens, Kimberly"
"83",1,0.6,0,"el-Mousa, Fat'hiyaa"
"84",1,0.6,1,"Breazell, Caitlyn"
"85",0,0.8,1,"Mayes, Benjamin"
"86",0,0.8,1,"Anderson, William"
"87",1,0.6,1,"Medina, Samantha"
"88",0,0.8,0,"Bolstad, David"
"89",0,0.8,1,"al-Badour, Sharaf"
"90",1,0.6,1,"Lo, Lisa"
